Day_Of_Week,Start_Date_Time,End_Date_Time,Event_Name,Location,Game_Binary,Homecoming_Binary
Thursday,11/7/2019 7:30 PM,11/7/2019 9:30 PM,UMD Chamber Singers and Alumni Choir,Clarice Smith Performing Arts Center,0,0
Friday,11/8/2019 8:00 AM,11/8/2019 5:00 PM,Maryland Assessment Research Center Annual Conference,Stamp Student Union,0,0
Friday,11/8/2019 10:00 AM,11/8/2019 11:00 AM,Business Development 101 for Startups,Diamondback Garage,0,0
Friday,11/8/2019 11:00 AM,11/8/2019 2:00 PM,#FearlessFirst: A Celebration of First-Gen Terps,Stamp Student Union,0,0
Friday,11/8/2019 12:00 PM,11/8/2019 1:00 PM,Applying Your Engineering Skills in Leadership and Innovation Seminar,A.V. Williams Building,0,0
Friday,11/8/2019 12:30 PM,11/8/2019 1:30 PM,Dialogues on Deliberation,Edward St. John Center,0,0
Friday,11/8/2019 7:00 PM,11/8/2019 8:00 PM,Stefon Harris and Blackout,The ArtHouse,0,0
Friday,11/8/2019 7:00 PM,11/8/2019 9:00 PM,Volleyball,Xfinity Center,1,0
Saturday,11/9/2019 8:00 PM,11/9/2019 10:00 PM,Voices Unheard: Celebrating Diverse Composers,Clarice Smith Performing Arts Center,0,0
Saturday,11/9/2019 9:00 PM,11/10/2019 12:00 AM,Men's Basketball,Xfinity Center,1,0
Sunday,11/10/2019 1:00 PM,11/10/2019 7:00 PM,Concerto Competition Prelims,Clarice Smith Performing Arts Center,0,0
Sunday,11/10/2019 3:00 PM,11/10/2019 6:00 PM,Women's Basketball,Xfinity Center,1,0
